line_number,trans_date_trans_time,merchant,category,amt,gender,city,state,city_pop,job,unix_time,is_fraud,age
666,2019-01-24 21:28:53,fraud_Romaguera Ltd,health_fitness,198.32,F,Kirtland Afb,NM,310,"Surveyor, land/geomatics",1327440533,0,46
667,2019-01-24 22:30:58,fraud_Erdman-Schaden,personal_care,17.67,F,Walnut Ridge,AR,7155,"Engineer, control and instrumentation",1327444258,0,47
668,2019-01-24 23:38:13,fraud_Gulgowski LLC,home,124.72,F,Scotia,SC,302,Magazine features editor,1327448293,0,51
669,2019-01-25 01:10:42,fraud_Doyle Ltd,grocery_pos,91.09,F,Mulberry Grove,IL,1810,Race relations officer,1327453842,0,49
670,2019-01-25 02:28:01,"fraud_Swaniawski, Lowe and Robel",shopping_pos,4.48,F,Goreville,IL,3119,"Teacher, secondary school",1327458481,0,82
671,2019-01-25 04:08:08,fraud_Volkman-Predovic,shopping_net,1.3,F,New York City,NY,1577385,Audiological scientist,1327464488,0,66
672,2019-01-25 05:40:26,"fraud_Schumm, Bauch and Ondricka",grocery_pos,196.55,F,Manistique,MI,6469,Trade mark attorney,1327470026,0,45
673,2019-01-25 07:10:57,"fraud_Towne, Greenholt and Koepp",shopping_net,2.4,F,Brownville,NY,1271,"Producer, radio",1327475457,0,66
674,2019-01-25 08:41:02,fraud_Prohaska-Murray,gas_transport,60.64,F,Kirby,OH,118,Private music teacher,1327480862,0,67
675,2019-01-25 10:11:58,fraud_Schmeler Inc,misc_pos,2.38,F,River,KY,571,Quarry manager,1327486318,0,93
676,2019-01-25 11:35:15,fraud_Harber Inc,gas_transport,38.2,M,Tekoa,WA,895,Clothing/textile technologist,1327491315,0,25
677,2019-01-25 12:39:01,fraud_Bednar PLC,kids_pets,80.81,M,Lubbock,TX,254282,"Doctor, general practice",1327495141,0,72
678,2019-01-25 13:31:46,"fraud_Hahn, Bahringer and McLaughlin",personal_care,61.92,F,Spencer,SD,343,"Development worker, international aid",1327498306,0,52
679,2019-01-25 14:19:23,fraud_Champlin-Casper,home,109.72,F,Viola,AR,1679,Psychiatric nurse,1327501163,0,38
680,2019-01-25 15:17:23,"fraud_Lesch, D'Amore and Brown",food_dining,70.78,F,Monitor,WA,584,Medical technical officer,1327504643,0,55
681,2019-01-25 16:06:18,fraud_Bahringer-Streich,food_dining,133.19,F,Meadville,MS,2799,"Therapist, horticultural",1327507578,0,63
682,2019-01-25 17:10:24,fraud_Fadel-Hilpert,health_fitness,42.21,F,Ashford,WA,759,Video editor,1327511424,0,68
683,2019-01-25 18:06:37,"fraud_Streich, Dietrich and Barton",shopping_net,3.52,F,Birmingham,IA,888,Camera operator,1327514797,0,36
684,2019-01-25 19:14:58,fraud_Maggio-Fahey,misc_pos,9.08,F,O Brien,TX,178,Warden/ranger,1327518898,0,41
685,2019-01-25 20:09:35,"fraud_Turcotte, McKenzie and Koss",entertainment,68.52,F,Burlington,WA,14871,Public house manager,1327522175,0,50
686,2019-01-25 21:09:37,fraud_Heathcote LLC,shopping_net,8.53,F,Clayton,OK,1760,Occupational psychologist,1327525777,0,52
687,2019-01-25 21:59:56,fraud_Leannon-Nikolaus,travel,2.89,M,Woodville,AL,3395,"Editor, commissioning",1327528796,0,45
688,2019-01-25 22:52:23,"fraud_Schroeder, Hauck and Treutel",entertainment,180.53,M,Newark Valley,NY,4354,Further education lecturer,1327531943,0,30
689,2019-01-25 23:44:34,fraud_Goldner-Lemke,entertainment,71.93,F,De Soto,KS,5760,Chief Executive Officer,1327535074,0,46
690,2019-01-26 01:16:08,fraud_Friesen-Stamm,gas_transport,59.61,M,Tallmansville,WV,571,Accounting technician,1327540568,0,57
691,2019-01-26 02:22:48,fraud_Ledner-Pfannerstill,gas_transport,74.92,M,Bowdoin,ME,3224,"Engineer, electronics",1327544568,0,27
692,2019-01-26 03:37:53,"fraud_Okuneva, Schneider and Rau",shopping_pos,232.17,M,Harrodsburg,IN,76,Social researcher,1327549073,0,69
693,2019-01-26 05:01:48,fraud_Schmitt Inc,gas_transport,59.4,M,Lohrville,IA,695,Administrator,1327554108,0,70
694,2019-01-26 06:29:37,fraud_Mohr-Bayer,shopping_net,7.45,M,Chester Heights,PA,348,Management consultant,1327559377,0,79
695,2019-01-26 07:53:38,fraud_Kutch and Sons,grocery_pos,233.26,F,Hurricane,WV,21902,Sub,1327564418,0,44
696,2019-01-26 09:12:49,fraud_Schmidt and Sons,shopping_net,3.37,M,Freedom,WY,471,"Education officer, museum",1327569169,0,57
697,2019-01-26 10:18:11,fraud_Pacocha-Bauch,shopping_pos,6.31,M,Oklahoma City,OK,640470,Advertising copywriter,1327573091,0,58
698,2019-01-26 11:31:14,fraud_Koepp-Parker,grocery_pos,102.43,M,Montandon,PA,645,Orthoptist,1327577474,0,50
699,2019-01-26 12:25:57,fraud_Runte-Mohr,food_dining,3.81,M,Saint Petersburg,FL,341043,"Engineer, land",1327580757,0,35
700,2019-01-26 13:20:15,fraud_Kihn-Schuster,food_dining,87.69,F,Bauxite,AR,4074,"Scientist, audiological",1327584015,0,48
701,2019-01-26 14:15:16,fraud_Fisher Inc,shopping_net,4.96,F,Irvine,PA,528,Chief Marketing Officer,1327587316,0,52
702,2019-01-26 15:03:19,fraud_Schoen-Quigley,kids_pets,16.28,F,Saint Paul,MN,753116,Fisheries officer,1327590199,0,53
703,2019-01-26 16:02:22,"fraud_Towne, Greenholt and Koepp",shopping_net,4.02,F,Lomax,IL,725,Environmental consultant,1327593742,0,52
704,2019-01-26 16:56:29,"fraud_Schroeder, Wolff and Hermiston",travel,8.68,M,Tamaroa,IL,2135,"Development worker, community",1327596989,0,63
705,2019-01-26 17:41:21,fraud_Crona and Sons,kids_pets,96.84,F,Kingsport,TN,87124,Warden/ranger,1327599681,0,37
706,2019-01-26 18:28:20,fraud_Altenwerth-Kilback,home,27.49,F,Grandview,TX,5875,"Radiographer, therapeutic",1327602500,0,32
707,2019-01-26 19:13:06,fraud_Friesen-Ortiz,personal_care,9.72,M,Lonsdale,MN,5211,Chief Strategy Officer,1327605186,0,37
708,2019-01-26 19:59:18,fraud_Gottlieb Group,kids_pets,37.67,F,Wilmington,NC,186140,English as a second language teacher,1327607958,0,41
709,2019-01-26 20:59:44,fraud_Auer-West,shopping_net,1.51,M,Sauk Rapids,MN,16163,Hydrographic surveyor,1327611584,0,37
710,2019-01-26 22:03:34,fraud_Schumm PLC,health_fitness,20.31,F,De Witt,AR,5161,Electrical engineer,1327615414,0,31
711,2019-01-26 23:02:58,fraud_Parker-Kunde,personal_care,122.78,M,Crownpoint,NM,5662,IT consultant,1327618978,0,35
712,2019-01-26 23:57:19,fraud_Monahan-Morar,personal_care,13.57,M,Mc Veytown,PA,4653,Nutritional therapist,1327622239,0,27
713,2019-01-27 00:45:40,fraud_Kiehn Inc,grocery_pos,230.43,F,Tyler,TX,144160,Sports development officer,1327625140,0,40
714,2019-01-27 01:39:04,fraud_O'Keefe-Hudson,grocery_pos,84.47,F,Orient,WA,149,Special educational needs teacher,1327628344,0,46
715,2019-01-27 02:33:01,fraud_Huels-Nolan,gas_transport,58.48,M,Hancock,MD,3766,Press photographer,1327631581,0,40
716,2019-01-27 03:36:02,fraud_Klocko LLC,misc_net,76.98,M,Manley,NE,206,Human resources officer,1327635362,0,57
717,2019-01-27 04:21:36,"fraud_Stroman, Hudson and Erdman",gas_transport,74.3,M,North Las Vegas,NV,214518,Catering manager,1327638096,0,64
718,2019-01-27 05:23:55,fraud_DuBuque LLC,grocery_pos,136.56,M,Holliday,TX,2317,Chief Technology Officer,1327641835,0,60
719,2019-01-27 06:27:59,fraud_Schmidt and Sons,shopping_net,1.28,F,Tomales,CA,337,Occupational psychologist,1327645679,0,70
720,2019-01-27 07:23:52,"fraud_Bahringer, Schoen and Corkery",shopping_pos,1.02,F,Pomona,NY,9993,Pensions consultant,1327649032,0,62
721,2019-01-27 08:07:27,"fraud_Bernier, Streich and Jewess",grocery_net,84.9,F,Tulsa,OK,413574,Bookseller,1327651647,0,56
722,2019-01-27 08:57:24,fraud_Vandervort-Funk,grocery_pos,185.38,F,Burlington,WA,14871,Public house manager,1327654644,0,50
723,2019-01-27 10:07:58,fraud_Halvorson Group,misc_pos,3.55,M,Boulder,MT,1939,Patent attorney,1327658878,0,57
724,2019-01-27 11:06:34,fraud_Koepp-Witting,grocery_pos,178.78,F,Roma,TX,18128,IT trainer,1327662394,0,34
725,2019-01-27 11:55:09,"fraud_Streich, Hansen and Veum",gas_transport,53.74,M,Cuyahoga Falls,OH,47772,Equities trader,1327665309,0,58
726,2019-01-27 12:40:26,fraud_Hermann and Sons,shopping_pos,9.99,M,San Antonio,TX,1595797,Exhibition designer,1327668026,0,48
727,2019-01-27 13:13:40,"fraud_Schiller, Blanda and Johnson",home,49.82,F,Mulberry Grove,IL,1810,Race relations officer,1327670020,0,49
728,2019-01-27 13:54:06,fraud_Hills-Boyer,personal_care,98.58,M,Tallmansville,WV,571,Accounting technician,1327672446,0,57
729,2019-01-27 14:29:57,fraud_Connelly-Carter,home,64.09,M,Laredo,TX,248858,Video editor,1327674597,0,53
730,2019-01-27 15:10:16,fraud_Terry-Huel,shopping_net,6.53,M,Leo,IN,5341,Biomedical engineer,1327677016,0,30
731,2019-01-27 15:46:43,fraud_Pacocha-Weissnat,kids_pets,12.64,M,Holliday,TX,2317,Chief Technology Officer,1327679203,0,60
732,2019-01-27 16:15:19,fraud_Breitenberg-Hermiston,kids_pets,62.07,F,Hurley,SD,811,Neurosurgeon,1327680919,0,52
733,2019-01-27 16:48:53,"fraud_Mosciski, Ziemann and Farrell",shopping_net,2.63,F,Redford,MO,241,Investment analyst,1327682933,0,50
734,2019-01-27 17:33:41,"fraud_Lowe, Dietrich and Erdman",kids_pets,69.66,M,Pittsburgh,PA,687276,"Scientist, marine",1327685621,0,51
735,2019-01-27 18:13:26,"fraud_Monahan, Bogisich and Ledner",misc_pos,5.68,M,Birmingham,AL,493806,Musician,1327688006,0,44
736,2019-01-27 18:48:57,"fraud_Schoen, Nienow and Bauch",personal_care,23.61,F,Enola,AR,969,"Physicist, medical",1327690137,0,70
737,2019-01-27 19:21:19,fraud_Schiller Ltd,personal_care,17.74,F,Clearwater,FL,172247,"Geneticist, molecular",1327692079,0,45
738,2019-01-27 19:57:18,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,125.49,M,Rumely,MI,137,Film/video editor,1327694238,0,34
739,2019-01-27 20:31:26,fraud_Friesen Ltd,health_fitness,35.87,F,Miamisburg,OH,36784,"Investment banker, corporate",1327696286,0,83
740,2019-01-27 21:10:10,"fraud_Daugherty, Pouros and Beahan",shopping_pos,6.4,M,Cochranton,PA,5507,Retail merchandiser,1327698610,0,51
741,2019-01-27 21:37:25,fraud_Morissette LLC,entertainment,131.29,F,Newhall,CA,34882,Health physicist,1327700245,0,53
742,2019-01-27 22:10:59,fraud_Gerhold LLC,home,107.11,F,Lawn,PA,213,Special educational needs teacher,1327702259,0,52
743,2019-01-27 22:38:42,fraud_Waelchi-Wolf,kids_pets,99.69,F,Altonah,UT,302,"Sales professional, IT",1327703922,0,34
744,2019-01-27 23:11:41,fraud_Reichel Inc,entertainment,9.29,F,Fullerton,NE,1749,"Surveyor, mining",1327705901,0,51
745,2019-01-27 23:45:49,fraud_Ruecker-Mayert,kids_pets,53.68,M,Saxon,WI,795,Television/film/video producer,1327707949,0,38
746,2019-01-28 00:34:36,fraud_Keeling-Crist,misc_pos,32.48,F,Eugene,OR,191096,"Scientist, physiological",1327710876,0,60
747,2019-01-28 01:20:31,fraud_Ankunding LLC,shopping_net,7.69,M,Armonk,NY,7987,Television/film/video producer,1327713631,0,60
748,2019-01-28 02:02:16,fraud_Koss and Sons,gas_transport,80.47,F,Mill Creek,PA,1334,Archaeologist,1327716136,0,37
749,2019-01-28 02:44:57,fraud_Kuhic Inc,grocery_pos,26.17,M,Wilmette,IL,27020,Trade mark attorney,1327718697,0,38
750,2019-01-28 03:38:03,fraud_Wilkinson Ltd,entertainment,4.16,F,Hampton,VA,136895,Accounting technician,1327721883,0,85
751,2019-01-28 04:23:44,"fraud_Bahringer, Schoen and Corkery",shopping_pos,9.04,F,Waupaca,WI,15426,"Engineer, civil (contracting)",1327724624,0,88
752,2019-01-28 05:12:13,"fraud_Moore, Dibbert and Koepp",misc_net,3.21,M,West Decatur,PA,1762,Armed forces logistics/support/administrative officer,1327727533,0,62
753,2019-01-28 05:51:55,fraud_Price Inc,shopping_net,96.66,M,Oak Hill,NY,277,Glass blower/designer,1327729915,0,53
754,2019-01-28 06:46:51,fraud_Erdman-Kertzmann,gas_transport,38.78,F,Uledi,PA,328,Tree surgeon,1327733211,0,41
755,2019-01-28 07:32:42,fraud_Hermann-Gaylord,misc_pos,4.69,F,New York City,NY,1577385,Audiological scientist,1327735962,0,66
756,2019-01-28 08:26:49,fraud_Cartwright-Harris,grocery_pos,191.43,F,Brandon,VT,5895,"Scientist, marine",1327739209,0,49
757,2019-01-28 09:18:23,fraud_Brown PLC,misc_net,37.55,M,Parsonsfield,ME,1892,Audiological scientist,1327742303,0,68
758,2019-01-28 10:02:09,fraud_Koepp-Witting,grocery_pos,96.7,F,Lagrange,WY,635,Product/process development scientist,1327744929,0,51
759,2019-01-28 10:48:53,"fraud_Rowe, Batz and Goodwin",grocery_pos,84.28,M,Harrington Park,NJ,4664,"Radiographer, diagnostic",1327747733,0,59
760,2019-01-28 11:52:19,fraud_Jast-McDermott,shopping_pos,131.2,M,Cokeburg,PA,632,Dealer,1327751539,0,35
761,2019-01-28 12:22:06,"fraud_Yost, Schamberger and Windler",kids_pets,46.25,M,Sachse,TX,20328,Site engineer,1327753326,0,39
762,2019-01-28 12:51:55,fraud_Tromp Group,travel,3.71,M,Sula,MT,218,"Therapist, horticultural",1327755115,0,29
763,2019-01-28 13:22:23,fraud_Tromp Group,travel,8.73,F,Miamisburg,OH,36784,"Investment banker, corporate",1327756943,0,83
764,2019-01-28 13:52:30,fraud_Friesen Ltd,health_fitness,30.25,M,Boulder,MT,1939,Patent attorney,1327758750,0,57
765,2019-01-28 14:19:29,"fraud_Swaniawski, Lowe and Robel",shopping_pos,391.7,F,Riverview,MI,15623,Writer,1327760369,0,31
766,2019-01-28 14:49:11,fraud_Morissette LLC,entertainment,7.17,F,Barneveld,NY,1684,IT trainer,1327762151,0,30
767,2019-01-28 15:11:39,fraud_Abernathy and Sons,food_dining,63.88,F,Holcomb,KS,2691,Arboriculturist,1327763499,0,31
768,2019-01-28 15:43:48,"fraud_Bahringer, Osinski and Block",food_dining,28.95,F,Oran,IA,53,Sports administrator,1327765428,0,52
769,2019-01-28 16:09:29,fraud_Connelly-Carter,home,6.45,M,Muskegon,MI,128715,Historic buildings inspector/conservation officer,1327766969,0,29
770,2019-01-28 16:44:11,fraud_Hackett Group,travel,1.61,F,Sturgis,MS,1923,Medical physicist,1327769051,0,64
771,2019-01-28 17:14:47,"fraud_Roob, Conn and Tremblay",shopping_pos,6.84,M,Newberg,OR,28278,Research scientist (physical sciences),1327770887,0,47
772,2019-01-28 17:44:28,fraud_Kihn-Fritsch,food_dining,62.36,M,Montandon,PA,645,Orthoptist,1327772668,0,50
773,2019-01-28 18:13:31,fraud_Schmitt Ltd,misc_net,138.02,F,Edisto Island,SC,2408,"Sales professional, IT",1327774411,0,27
774,2019-01-28 18:46:31,fraud_Osinski Inc,personal_care,34.48,F,Brandon,FL,79613,Environmental consultant,1327776391,0,46
775,2019-01-28 19:17:24,"fraud_O'Connell, Botsford and Hand",home,164.65,F,Ridgeland,MS,24645,"Scientist, clinical (histocompatibility and immunogenetics)",1327778244,0,58
776,2019-01-28 19:46:29,"fraud_Daugherty, Pouros and Beahan",shopping_pos,2.43,F,Mc Clellandtown,PA,2379,"Sales professional, IT",1327779989,0,53
777,2019-01-28 20:21:32,fraud_Denesik and Sons,shopping_pos,24.78,M,Montgomery,AL,214703,"Chemist, analytical",1327782092,0,30
778,2019-01-28 20:52:05,fraud_Little Ltd,kids_pets,26.68,M,Greenville,OH,22930,Media planner,1327783925,0,53
779,2019-01-28 21:28:19,fraud_Morissette-Schaefer,personal_care,75.72,F,Brandon,FL,79613,Environmental consultant,1327786099,0,46
780,2019-01-28 21:53:45,fraud_Altenwerth-Kilback,home,56.85,F,Rock Springs,WY,27971,Music therapist,1327787625,0,40
781,2019-01-28 22:19:03,fraud_Shanahan-Lehner,personal_care,2.69,F,Scotland,MD,313,Insurance underwriter,1327789143,0,48
782,2019-01-28 22:43:25,fraud_Gislason Group,travel,9.72,F,Eureka,IL,6713,Archivist,1327790605,0,79
783,2019-01-28 23:14:04,fraud_Bogisich-Weimann,kids_pets,13.39,F,New Waverly,TX,4993,"Scientist, biomedical",1327792444,0,76
784,2019-01-28 23:38:40,fraud_Jakubowski Inc,home,76.36,M,Egan,LA,1261,Broadcast presenter,1327793920,0,52
785,2019-01-29 00:10:20,"fraud_Moore, Dibbert and Koepp",misc_net,29.83,F,Joliet,IL,128354,"Teacher, secondary school",1327795820,0,32
786,2019-01-29 00:52:14,fraud_Koepp-Witting,grocery_pos,116.42,F,Marietta,SC,5648,Museum/gallery exhibitions officer,1327798334,0,90
787,2019-01-29 01:41:51,"fraud_Hayes, Marquardt and Dibbert",misc_net,94.92,M,Saint Bonaventure,NY,1453,Toxicologist,1327801311,0,50
788,2019-01-29 02:34:43,"fraud_Mosciski, Ziemann and Farrell",shopping_net,99.52,M,Irwinton,GA,1841,Film/video editor,1327804483,0,49
789,2019-01-29 03:28:42,fraud_Kozey-Boehm,shopping_net,3.49,M,Turner,MT,192,Further education lecturer,1327807722,0,60
790,2019-01-29 04:16:16,fraud_Turner and Sons,shopping_pos,72.25,M,Ozawkie,KS,2661,Theatre director,1327810576,0,76
791,2019-01-29 05:08:08,fraud_Miller-Hauck,grocery_pos,128.47,M,Lohrville,IA,695,Administrator,1327813688,0,70
792,2019-01-29 05:52:07,"fraud_Tillman, Dickinson and Labadie",gas_transport,97.9,F,Loving,NM,1925,Educational psychologist,1327816327,0,72
793,2019-01-29 06:40:33,fraud_Parisian and Sons,gas_transport,53.45,F,Mc Cracken,KS,320,Film/video editor,1327819233,0,63
794,2019-01-29 07:29:35,fraud_Torp-Labadie,gas_transport,55.83,F,Uledi,PA,328,Tree surgeon,1327822175,0,41
795,2019-01-29 08:14:52,fraud_Larson-Moen,entertainment,193.62,M,Oxford,MI,24840,Agricultural consultant,1327824892,0,64
796,2019-01-29 09:13:15,fraud_Kerluke PLC,misc_net,7.25,M,Denham Springs,LA,71335,Herbalist,1327828395,0,30
797,2019-01-29 09:53:49,fraud_Ernser-Lynch,food_dining,83.05,M,Warren,MI,134056,"Producer, radio",1327830829,0,68
798,2019-01-29 10:52:03,fraud_Herman Inc,misc_pos,1.01,M,Edinburg,VA,6018,"Designer, multimedia",1327834323,0,77
799,2019-01-29 11:43:43,fraud_Ruecker Group,misc_net,15.68,M,Hatch,UT,258,Geoscientist,1327837423,0,63
800,2019-01-29 12:20:26,fraud_Bahringer Group,health_fitness,3.6,F,Grand Ridge,FL,3699,Art gallery manager,1327839626,0,76
801,2019-01-29 12:58:07,"fraud_Lowe, Dietrich and Erdman",kids_pets,113.38,F,Marietta,SC,5648,Museum/gallery exhibitions officer,1327841887,0,90
802,2019-01-29 13:28:52,fraud_Ziemann-Waters,health_fitness,24.6,F,Gardiner,OR,260,"Engineer, maintenance",1327843732,0,68
803,2019-01-29 14:06:29,"fraud_Reichert, Rowe and Mraz",shopping_net,16.83,F,Goodrich,MI,6951,Learning disability nurse,1327845989,0,39
804,2019-01-29 14:39:03,"fraud_Hauck, Dietrich and Funk",kids_pets,230.7,M,Riverton,WY,19408,"Lecturer, higher education",1327847943,0,31
805,2019-01-29 15:02:55,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,1133.01,F,Viola,AR,1679,Psychiatric nurse,1327849375,0,38
806,2019-01-29 15:34:48,fraud_Kozey-Boehm,shopping_net,107.11,F,Bauxite,AR,4074,"Scientist, audiological",1327851288,0,48
807,2019-01-29 16:10:23,fraud_Bins-Tillman,entertainment,109.26,M,Minnesota Lake,MN,1087,Music tutor,1327853423,0,61
808,2019-01-29 16:39:51,fraud_Yost-Rogahn,personal_care,41.67,F,Philadelphia,PA,1526206,Structural engineer,1327855191,0,39
809,2019-01-29 17:11:04,"fraud_Hartmann, Rowe and Hermann",travel,4.72,M,Mount Hope,AL,1312,"Librarian, academic",1327857064,0,69
810,2019-01-29 17:46:23,"fraud_Schoen, Nienow and Bauch",personal_care,30.72,M,Oakland,TN,9496,Furniture conservator/restorer,1327859183,0,31
811,2019-01-29 18:20:37,fraud_Boyer PLC,shopping_net,90.48,M,Washoe Valley,NV,4290,Animal nutritionist,1327861237,0,35
812,2019-01-29 18:55:52,fraud_Graham and Sons,health_fitness,73.55,M,Beasley,TX,2457,Trading standards officer,1327863352,0,43
813,2019-01-29 19:26:47,fraud_Gerhold LLC,home,79.41,M,Lamberton,MN,1507,Land/geomatics surveyor,1327865207,0,31
814,2019-01-29 19:57:25,fraud_Lemke and Sons,travel,4.05,M,Espanola,NM,18408,Historic buildings inspector/conservation officer,1327867045,0,52
815,2019-01-29 20:30:02,"fraud_Durgan, Gislason and Spencer",home,91.36,F,Baton Rouge,LA,378909,"Designer, furniture",1327869002,0,47
816,2019-01-29 21:00:00,fraud_Schoen Ltd,kids_pets,23.78,M,Westport,KY,564,Pensions consultant,1327870800,0,28
817,2019-01-29 21:31:41,fraud_Yost-Rogahn,personal_care,48.04,F,Laguna Hills,CA,45303,Sales executive,1327872701,0,54
818,2019-01-29 22:00:22,fraud_Wilkinson LLC,personal_care,180.92,F,Kingsford Heights,IN,1423,"Psychologist, forensic",1327874422,0,26
819,2019-01-29 22:30:39,fraud_Bernhard-Lesch,food_dining,37.66,F,Vero Beach,FL,105638,"Librarian, public",1327876239,0,38
820,2019-01-29 22:54:31,fraud_Weber and Sons,food_dining,3.84,M,Elizabeth,NJ,124967,Operational researcher,1327877671,0,43
821,2019-01-29 23:19:09,"fraud_Durgan, Gislason and Spencer",home,136.44,M,Elizabethtown,KY,48194,Surgeon,1327879149,0,34
822,2019-01-29 23:40:40,fraud_Hilpert-Conroy,kids_pets,35.42,F,Houston,TX,2906700,Animator,1327880440,0,41
823,2019-01-30 00:21:34,"fraud_Huel, Hammes and Witting",grocery_pos,152.16,F,Rule,TX,932,"Physicist, medical",1327882894,0,70
824,2019-01-30 02:03:27,"fraud_Connelly, Reichert and Fritsch",gas_transport,63.73,F,Tomales,CA,337,Occupational psychologist,1327889007,0,70
825,2019-01-30 03:44:48,fraud_Boyer PLC,misc_pos,3.17,F,Steuben,ME,1131,Make,1327895088,0,65
826,2019-01-30 05:22:22,"fraud_Fadel, Mertz and Rippin",entertainment,29.94,M,Auburn,ME,23045,Tourist information centre manager,1327900942,0,66
827,2019-01-30 07:09:29,"fraud_Connelly, Reichert and Fritsch",gas_transport,69.55,M,Schaefferstown,PA,823,Gaffer,1327907369,0,42
828,2019-01-30 09:01:51,fraud_Lynch Ltd,shopping_pos,7.97,M,Belmont,NH,7430,"Scientist, research (medical)",1327914111,0,69
829,2019-01-30 10:31:06,fraud_Torp-Labadie,gas_transport,74.8,F,Philadelphia,PA,1526206,Structural engineer,1327919466,0,39
830,2019-01-30 12:12:03,fraud_Bahringer Group,health_fitness,3.24,F,Hopewell,VA,31970,Purchasing manager,1327925523,0,89
831,2019-01-30 13:16:35,fraud_Stark-Batz,entertainment,100.62,F,Jones,AL,1089,Materials engineer,1327929395,0,53
832,2019-01-30 14:09:18,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,157.33,F,Kingsford Heights,IN,1423,"Psychologist, forensic",1327932558,0,26
833,2019-01-30 15:12:40,fraud_Terry Ltd,home,68.53,F,Creedmoor,NC,12335,Chief Strategy Officer,1327936360,0,37
834,2019-01-30 16:22:02,fraud_Morissette-Schaefer,personal_care,193.92,F,North Loup,NE,509,"Nurse, children's",1327940522,0,44
835,2019-01-30 17:24:03,fraud_O'Keefe-Wisoky,food_dining,2.56,M,Des Moines,IA,222785,Interior and spatial designer,1327944243,0,43
836,2019-01-30 18:40:53,fraud_Bernier and Sons,kids_pets,42.48,F,Deane,KY,230,"Conservation officer, historic buildings",1327948853,0,27
837,2019-01-30 19:50:41,"fraud_Cronin, Kshlerin and Weber",health_fitness,74.38,M,Williams,IN,1735,Financial adviser,1327953041,0,34
838,2019-01-30 20:53:58,fraud_Waelchi-Wolf,kids_pets,210.87,M,Alton,IA,1700,"Engineer, land",1327956838,0,22
839,2019-01-30 21:57:57,"fraud_Armstrong, Walter and Gottlieb",food_dining,11.72,M,Lake Jackson,TX,28739,Futures trader,1327960677,0,24
840,2019-01-30 22:59:20,fraud_Prosacco LLC,personal_care,19.69,F,Mountain Park,OK,540,Research scientist (life sciences),1327964360,1,41
841,2019-01-31 00:03:53,fraud_Kassulke Inc,entertainment,25.61,F,Goreville,IL,3119,"Teacher, secondary school",1327968233,0,82
842,2019-01-31 01:26:56,fraud_Koss and Sons,gas_transport,41.89,M,Luzerne,MI,864,General practice doctor,1327973216,0,82
843,2019-01-31 03:08:59,"fraud_Tillman, Dickinson and Labadie",gas_transport,51.2,F,Moro,IL,2401,"Buyer, industrial",1327979339,0,52
844,2019-01-31 04:45:17,fraud_Kilback LLC,grocery_pos,204.2,F,Indianapolis,IN,910148,Firefighter,1327985117,0,49
845,2019-01-31 06:03:27,fraud_Wiegand-Lowe,grocery_net,25.63,F,Hedrick,IA,1583,Geochemist,1327989807,0,25
846,2019-01-31 07:27:23,fraud_Brown PLC,misc_net,5.67,F,Leonard,TX,4090,Sub,1327994843,0,47
847,2019-01-31 09:09:01,fraud_Welch Inc,misc_net,3.15,F,Cascade Locks,OR,1288,Barrister,1328000941,0,88
848,2019-01-31 10:33:01,fraud_Stracke-Lemke,grocery_pos,51.08,M,Edmond,OK,116001,Media buyer,1328005981,0,31
849,2019-01-31 12:04:23,fraud_Stiedemann Ltd,food_dining,9.53,M,Bronx,NY,1382480,"Therapist, drama",1328011463,0,34
850,2019-01-31 13:08:45,fraud_Waelchi Inc,kids_pets,149.74,F,Noonan,ND,248,Industrial/product designer,1328015325,0,56
851,2019-01-31 14:14:19,fraud_Jacobi Inc,health_fitness,80.17,F,Redford,MO,241,Investment analyst,1328019259,0,50
852,2019-01-31 15:13:34,fraud_Ullrich Ltd,kids_pets,18.89,F,Shenandoah Junction,WV,1925,Systems developer,1328022814,0,58
853,2019-01-31 16:18:33,"fraud_Daugherty, Pouros and Beahan",shopping_pos,6.82,F,Dallas,TX,1263321,"Designer, ceramics/pottery",1328026713,0,49
854,2019-01-31 17:11:49,"fraud_Denesik, Powlowski and Pouros",home,87.75,M,Aledo,TX,13602,Optometrist,1328029909,0,40
855,2019-01-31 18:18:55,fraud_Maggio-Fahey,misc_pos,1.06,F,Conway,WA,85,"Research officer, political party",1328033935,0,40
856,2019-01-31 19:17:24,fraud_Roberts-Beahan,misc_pos,5.28,M,Port Richey,FL,42619,Environmental education officer,1328037444,0,49
857,2019-01-31 20:22:10,"fraud_Streich, Rolfson and Wilderman",kids_pets,27.15,M,Roseland,NE,463,"Nurse, mental health",1328041330,0,76
858,2019-01-31 21:15:13,fraud_Windler LLC,kids_pets,28.86,M,Parsonsfield,ME,1892,Audiological scientist,1328044513,0,68
859,2019-01-31 22:16:56,"fraud_Runolfsdottir, Mueller and Hand",entertainment,186.73,M,Pueblo,CO,151815,Further education lecturer,1328048216,0,36
860,2019-01-31 23:00:19,fraud_Abbott-Rogahn,entertainment,474.24,F,Centerview,MO,2368,Electronics engineer,1328050819,1,35
861,2019-01-31 23:56:42,fraud_Bode-Rempel,kids_pets,49.57,M,High Rolls Mountain Park,NM,899,Naval architect,1328054202,0,57
